invoice_id,order_id,invoice_date,shipping_fee,tax_amount,invoice_total
INV-0001,ORD-0001,2026-04-06,20.50,46.10,1091.10
INV-0002,ORD-0002,2026-04-10,23.00,119.59,2800.09
INV-0003,ORD-0003,2026-04-14,25.50,30.13,725.13
INV-0004,ORD-0004,2026-04-18,28.00,48.51,1154.51
INV-0005,ORD-0005,2026-04-22,18.00,101.25,2369.25
INV-0006,ORD-0006,2026-04-26,20.50,12.26,305.26
INV-0007,ORD-0007,2026-04-30,23.00,56.54,1336.04
INV-0008,ORD-0008,2026-05-04,25.50,86.38,2031.38
INV-0009,ORD-0009,2026-05-08,28.00,36.23,869.23
INV-0010,ORD-0010,2026-05-12,18.00,59.49,1399.49
INV-0011,ORD-0011,2026-05-16,20.50,120.49,2818.49
INV-0012,ORD-0012,2026-05-20,23.00,16.34,402.34
INV-0013,ORD-0013,2026-05-24,25.50,68.06,1606.06
INV-0014,ORD-0014,2026-05-28,28.00,104.13,2446.13
INV-0015,ORD-0015,2026-06-01,18.00,42.86,1013.36
INV-0016,ORD-0016,2026-06-05,20.50,71.55,1682.05
INV-0017,ORD-0017,2026-06-09,23.00,91.24,2141.74
INV-0018,ORD-0018,2026-06-13,25.50,20.95,511.95
INV-0020,ORD-0020,2026-06-21,18.00,114.32,2672.82
INV-0021,ORD-0021,2026-06-25,20.50,50.04,1182.54
INV-0022,ORD-0022,2026-04-02,23.00,84.69,1989.69
INV-0023,ORD-0023,2026-04-06,25.50,86.18,2026.68
INV-0024,ORD-0024,2026-04-10,28.00,26.10,634.10
INV-0025,ORD-0025,2026-04-14,18.00,94.34,2208.84
INV-0026,ORD-0026,2026-04-18,20.50,133.79,3127.29
INV-0027,ORD-0027,2026-04-22,23.00,57.76,1364.26
INV-0028,ORD-0028,2026-04-26,25.50,86.67,2038.17
INV-0029,ORD-0029,2026-04-30,28.00,87.32,2055.82
INV-0030,ORD-0030,2026-05-04,18.00,31.79,756.29
INV-0031,ORD-0031,2026-05-08,20.50,83.09,1950.09
INV-0032,ORD-0032,2026-05-12,23.00,124.27,2908.77
INV-0033,ORD-0033,2026-05-16,25.50,66.02,1558.52
INV-0034,ORD-0034,2026-05-20,28.00,31.21,752.71
INV-0035,ORD-0035,2026-05-24,18.00,94.68,2216.68
INV-0036,ORD-0036,2026-05-28,20.50,22.73,548.23
INV-0037,ORD-0037,2026-06-01,23.00,77.51,1823.01
INV-0039,ORD-0039,2026-06-09,28.00,45.74,1090.24
INV-0040,ORD-0040,2026-06-13,18.00,39.94,945.44
INV-0041,ORD-0041,2026-06-17,20.50,112.84,2640.84
INV-0042,ORD-0042,2026-06-21,23.00,27.97,672.47
INV-0043,ORD-0043,2026-06-25,25.50,91.37,2147.37
INV-0044,ORD-0044,2026-04-02,28.00,92.12,2167.12
INV-0045,ORD-0045,2026-04-06,18.00,53.55,1261.55
INV-0046,ORD-0046,2026-04-10,20.50,49.75,1175.75
INV-0047,ORD-0047,2026-04-14,23.00,132.62,3102.62
INV-0048,ORD-0048,2026-04-18,25.50,33.75,809.25
INV-0049,ORD-0049,2026-04-22,28.00,106.31,2496.81
INV-0050,ORD-0050,2026-04-26,18.00,110.41,2581.91
INV-0051,ORD-0051,2026-04-30,20.50,11.79,294.29
INV-0052,ORD-0052,2026-05-04,23.00,60.64,1431.14
INV-0053,ORD-0053,2026-05-08,25.50,154.01,3602.01
INV-0054,ORD-0054,2026-05-12,28.00,40.07,958.57
INV-0055,ORD-0055,2026-05-16,18.00,63.81,1499.81
INV-0056,ORD-0056,2026-05-20,20.50,111.96,2620.46
INV-0058,ORD-0058,2026-05-28,25.50,72.61,1711.61
INV-0059,ORD-0059,2026-06-01,28.00,103.97,2442.47
INV-0060,ORD-0060,2026-06-05,18.00,46.94,1107.94
INV-0061,ORD-0061,2026-06-09,20.50,68.67,1615.17
INV-0062,ORD-0062,2026-06-13,23.00,119.72,2803.22
INV-0063,ORD-0063,2026-06-17,25.50,20.93,511.43
INV-0064,ORD-0064,2026-06-21,28.00,64.24,1519.74
