line_id,order_id,sku,quantity,unit_price,unit_cost
LIN-00001,ORD-0001,SKU-002,7,49.50,29.71
LIN-00002,ORD-0001,SKU-003,12,56.50,34.77
LIN-00003,ORD-0002,SKU-003,10,50.50,30.29
LIN-00004,ORD-0002,SKU-004,15,57.50,35.35
LIN-00005,ORD-0002,SKU-005,20,64.50,37.41
LIN-00006,ORD-0003,SKU-004,13,51.50,30.87
LIN-00007,ORD-0004,SKU-005,16,52.50,31.45
LIN-00008,ORD-0004,SKU-006,4,59.50,36.51
LIN-00009,ORD-0005,SKU-006,19,53.50,32.03
LIN-00010,ORD-0005,SKU-007,7,60.50,37.09
LIN-00011,ORD-0005,SKU-008,12,67.50,39.15
LIN-00012,ORD-0006,SKU-007,5,54.50,32.61
LIN-00013,ORD-0007,SKU-008,8,55.50,33.19
LIN-00014,ORD-0007,SKU-009,13,62.50,38.25
LIN-00015,ORD-0008,SKU-009,11,56.50,33.77
LIN-00016,ORD-0008,SKU-010,16,63.50,38.83
LIN-00017,ORD-0008,SKU-011,4,70.50,40.89
LIN-00018,ORD-0009,SKU-010,14,57.50,34.35
LIN-00019,ORD-0010,SKU-011,17,58.50,34.93
LIN-00020,ORD-0010,SKU-012,5,65.50,39.99
LIN-00021,ORD-0011,SKU-012,20,59.50,35.51
LIN-00022,ORD-0011,SKU-001,8,66.50,40.57
LIN-00023,ORD-0011,SKU-002,13,73.50,42.63
LIN-00024,ORD-0012,SKU-001,6,60.50,36.09
LIN-00025,ORD-0013,SKU-002,9,61.50,36.67
LIN-00026,ORD-0013,SKU-003,14,68.50,41.73
LIN-00027,ORD-0014,SKU-003,12,62.50,37.25
LIN-00028,ORD-0014,SKU-004,17,69.50,42.31
LIN-00029,ORD-0014,SKU-005,5,76.50,44.37
LIN-00030,ORD-0015,SKU-004,15,63.50,37.83
LIN-00031,ORD-0016,SKU-005,18,64.50,38.41
LIN-00032,ORD-0016,SKU-006,6,71.50,43.47
LIN-00033,ORD-0017,SKU-006,4,65.50,38.99
LIN-00034,ORD-0017,SKU-007,9,72.50,44.05
LIN-00035,ORD-0017,SKU-008,14,79.50,46.11
LIN-00036,ORD-0018,SKU-007,7,66.50,39.57
LIN-00037,ORD-0019,SKU-008,10,67.50,40.15
LIN-00038,ORD-0019,SKU-009,15,74.50,45.21
LIN-00039,ORD-0020,SKU-009,13,68.50,40.73
LIN-00040,ORD-0020,SKU-010,18,75.50,45.79
LIN-00041,ORD-0020,SKU-011,6,48.50,28.13
LIN-00042,ORD-0021,SKU-010,16,69.50,41.31
LIN-00043,ORD-0022,SKU-011,19,70.50,41.89
LIN-00044,ORD-0022,SKU-012,7,77.50,46.95
LIN-00045,ORD-0023,SKU-012,5,71.50,42.47
LIN-00046,ORD-0023,SKU-001,10,78.50,47.53
LIN-00047,ORD-0023,SKU-002,15,51.50,29.87
LIN-00048,ORD-0024,SKU-001,8,72.50,43.05
LIN-00049,ORD-0025,SKU-002,11,73.50,43.63
LIN-00050,ORD-0025,SKU-003,16,80.50,48.69
LIN-00051,ORD-0026,SKU-003,14,74.50,44.21
LIN-00052,ORD-0026,SKU-004,19,81.50,49.27
LIN-00053,ORD-0026,SKU-005,7,54.50,31.61
LIN-00054,ORD-0027,SKU-004,17,75.50,44.79
LIN-00055,ORD-0028,SKU-005,20,76.50,45.37
LIN-00056,ORD-0028,SKU-006,8,49.50,30.71
LIN-00057,ORD-0029,SKU-006,6,77.50,45.95
LIN-00058,ORD-0029,SKU-007,11,50.50,31.29
LIN-00059,ORD-0029,SKU-008,16,57.50,33.35
LIN-00060,ORD-0030,SKU-007,9,78.50,46.53
LIN-00061,ORD-0031,SKU-008,12,79.50,47.11
LIN-00062,ORD-0031,SKU-009,17,52.50,32.45
LIN-00063,ORD-0032,SKU-009,15,80.50,47.69
LIN-00064,ORD-0032,SKU-010,20,53.50,33.03
LIN-00065,ORD-0032,SKU-011,8,60.50,35.09
LIN-00066,ORD-0033,SKU-010,18,81.50,48.27
LIN-00067,ORD-0034,SKU-011,4,48.50,29.13
LIN-00068,ORD-0034,SKU-012,9,55.50,34.19
LIN-00069,ORD-0035,SKU-012,7,49.50,29.71
LIN-00070,ORD-0035,SKU-001,12,56.50,34.77
LIN-00071,ORD-0035,SKU-002,17,63.50,36.83
LIN-00072,ORD-0036,SKU-001,10,50.50,30.29
LIN-00073,ORD-0037,SKU-002,13,51.50,30.87
LIN-00074,ORD-0037,SKU-003,18,58.50,35.93
LIN-00075,ORD-0038,SKU-003,16,52.50,31.45
LIN-00076,ORD-0038,SKU-004,4,59.50,36.51
LIN-00077,ORD-0038,SKU-005,9,66.50,38.57
LIN-00078,ORD-0039,SKU-004,19,53.50,32.03
LIN-00079,ORD-0040,SKU-005,5,54.50,32.61
LIN-00080,ORD-0040,SKU-006,10,61.50,37.67
LIN-00081,ORD-0041,SKU-006,8,55.50,33.19
LIN-00082,ORD-0041,SKU-007,13,62.50,38.25
LIN-00083,ORD-0041,SKU-008,18,69.50,40.31
LIN-00084,ORD-0042,SKU-007,11,56.50,33.77
LIN-00085,ORD-0043,SKU-008,14,57.50,34.35
LIN-00086,ORD-0043,SKU-009,19,64.50,39.41
LIN-00087,ORD-0044,SKU-009,17,58.50,34.93
LIN-00088,ORD-0044,SKU-010,5,65.50,39.99
LIN-00089,ORD-0044,SKU-011,10,72.50,42.05
LIN-00090,ORD-0045,SKU-010,20,59.50,35.51
LIN-00091,ORD-0046,SKU-011,6,60.50,36.09
LIN-00092,ORD-0046,SKU-012,11,67.50,41.15
LIN-00093,ORD-0047,SKU-012,9,61.50,36.67
LIN-00094,ORD-0047,SKU-001,14,68.50,41.73
LIN-00095,ORD-0047,SKU-002,19,75.50,43.79
LIN-00096,ORD-0048,SKU-001,12,62.50,37.25
LIN-00097,ORD-0049,SKU-002,15,63.50,37.83
LIN-00098,ORD-0049,SKU-003,20,70.50,42.89
LIN-00099,ORD-0050,SKU-003,18,64.50,38.41
LIN-00100,ORD-0050,SKU-004,6,71.50,43.47
LIN-00101,ORD-0050,SKU-005,11,78.50,45.53
LIN-00102,ORD-0051,SKU-004,4,65.50,38.99
LIN-00103,ORD-0052,SKU-005,7,66.50,39.57
LIN-00104,ORD-0052,SKU-006,12,73.50,44.63
LIN-00105,ORD-0053,SKU-006,10,67.50,40.15
LIN-00106,ORD-0053,SKU-007,15,74.50,45.21
LIN-00107,ORD-0053,SKU-008,20,81.50,47.27
LIN-00108,ORD-0054,SKU-007,13,68.50,40.73
LIN-00109,ORD-0055,SKU-008,16,69.50,41.31
LIN-00110,ORD-0055,SKU-009,4,76.50,46.37
LIN-00111,ORD-0056,SKU-009,19,70.50,41.89
LIN-00112,ORD-0056,SKU-010,7,77.50,46.95
LIN-00113,ORD-0056,SKU-011,12,50.50,29.29
LIN-00114,ORD-0057,SKU-010,5,71.50,42.47
LIN-00115,ORD-0058,SKU-011,8,72.50,43.05
LIN-00116,ORD-0058,SKU-012,13,79.50,48.11
LIN-00117,ORD-0059,SKU-012,11,73.50,43.63
LIN-00118,ORD-0059,SKU-001,16,80.50,48.69
LIN-00119,ORD-0059,SKU-002,4,53.50,31.03
LIN-00120,ORD-0060,SKU-001,14,74.50,44.21
LIN-00121,ORD-0061,SKU-002,17,75.50,44.79
LIN-00122,ORD-0061,SKU-003,5,48.50,30.13
LIN-00123,ORD-0062,SKU-003,20,76.50,45.37
LIN-00124,ORD-0062,SKU-004,8,49.50,30.71
LIN-00125,ORD-0062,SKU-005,13,56.50,32.77
LIN-00126,ORD-0063,SKU-004,6,77.50,45.95
LIN-00127,ORD-0064,SKU-005,9,78.50,46.53
LIN-00128,ORD-0064,SKU-006,14,51.50,31.87
