payment_id,invoice_id,payment_date,amount,payment_status
PAY-00001,INV-0001,2026-04-23,1091.10,posted
PAY-00002,INV-0002,2026-04-28,2800.09,posted
PAY-00003,INV-0003,2026-05-03,725.13,posted
PAY-00004,INV-0004,2026-05-08,1154.51,posted
PAY-00005,INV-0005,2026-05-13,2369.25,posted
PAY-00006,INV-0006,2026-05-12,305.26,posted
PAY-00007,INV-0007,2026-05-17,1336.04,posted
PAY-00008,INV-0008,2026-05-22,1421.97,posted
PAY-00009,INV-0009,2026-05-27,869.23,posted
PAY-00010,INV-0010,2026-06-01,769.72,posted
PAY-00011,INV-0010,2026-06-08,629.77,posted
PAY-00012,INV-0011,2026-06-06,2818.49,posted
PAY-00013,INV-0012,2026-06-05,402.34,posted
PAY-00014,INV-0013,2026-06-10,1606.06,posted
PAY-00015,INV-0014,2026-06-15,2446.13,posted
PAY-00016,INV-0015,2026-06-20,1013.36,posted
PAY-00017,INV-0016,2026-06-25,1177.44,posted
PAY-00018,INV-0017,2026-06-30,2141.74,posted
PAY-00019,INV-0018,2026-06-29,511.95,posted
PAY-00020,INV-0020,2026-07-09,1470.05,posted
PAY-00020,INV-0020,2026-07-09,1470.05,posted
PAY-00021,INV-0020,2026-07-16,1202.77,posted
PAY-00022,INV-0021,2026-07-14,1182.54,posted
PAY-00023,INV-0022,2026-04-22,1989.69,posted
PAY-00024,INV-0023,2026-04-27,2026.68,posted
PAY-00025,INV-0024,2026-04-26,443.87,posted
PAY-00026,INV-0025,2026-05-01,2208.84,posted
PAY-00027,INV-0026,2026-05-06,3127.29,posted
PAY-00028,INV-0027,2026-05-11,1364.26,posted
PAY-00029,INV-0028,2026-05-16,2038.17,posted
PAY-00030,INV-0029,2026-05-21,2055.82,posted
PAY-00031,INV-0030,2026-05-20,415.96,posted
PAY-00032,INV-0030,2026-05-27,340.33,posted
PAY-00033,INV-0031,2026-05-25,1950.09,posted
PAY-00034,INV-0032,2026-05-30,2036.14,posted
PAY-00035,INV-0033,2026-06-04,1558.52,posted
PAY-00036,INV-0034,2026-06-09,752.71,posted
PAY-00037,INV-0035,2026-06-14,2216.68,posted
PAY-00038,INV-0036,2026-06-13,548.23,posted
PAY-00039,INV-0037,2026-06-18,1823.01,posted
PAY-00040,INV-0039,2026-06-28,1090.24,posted
PAY-00041,INV-0040,2026-07-03,519.99,posted
PAY-00042,INV-0040,2026-07-10,425.45,posted
PAY-00043,INV-0041,2026-07-08,2640.84,posted
PAY-00044,INV-0042,2026-07-07,672.47,posted
PAY-00045,INV-0043,2026-07-12,2147.37,posted
PAY-00046,INV-0044,2026-04-20,2167.12,posted
PAY-00047,INV-0045,2026-04-25,1261.55,posted
PAY-00048,INV-0046,2026-04-30,1175.75,posted
PAY-00049,INV-0047,2026-05-05,3102.62,posted
PAY-00050,INV-0048,2026-05-04,566.48,posted
PAY-00051,INV-0049,2026-05-09,2496.81,posted
PAY-00052,INV-0050,2026-05-14,1420.05,posted
PAY-00053,INV-0050,2026-05-21,1161.86,posted
PAY-00054,INV-0051,2026-05-19,294.29,posted
PAY-00055,INV-0052,2026-05-24,1431.14,posted
PAY-00056,INV-0053,2026-05-29,3602.01,posted
PAY-00057,INV-0054,2026-05-28,958.57,posted
PAY-00058,INV-0055,2026-06-02,1499.81,posted
PAY-00059,INV-0056,2026-06-07,1834.32,posted
PAY-00060,INV-0058,2026-06-17,1711.61,posted
PAY-00061,INV-0059,2026-06-22,2442.47,posted
PAY-00062,INV-0060,2026-06-21,609.37,posted
PAY-00063,INV-0060,2026-06-28,498.57,posted
PAY-00064,INV-0061,2026-06-26,1615.17,posted
PAY-00065,INV-0062,2026-07-01,2803.22,posted
PAY-00066,INV-0063,2026-07-06,511.43,posted
PAY-00067,INV-0064,2026-07-11,1063.82,posted
PAY-ORPHAN,INV-MISSING,2026-06-28,125.00,posted
