order_id,customer_id,order_date,channel,region,gross_revenue,return_revenue,net_revenue,net_cogs,gross_profit,invoice_total,cash_collected,accounts_receivable,invoice_reconciliation_residual
ORD-0001,CUS-001,2026-04-05,partner,South,1024.50,0.00,1024.50,625.21,399.29,1091.10,1091.10,0.00,0.00
ORD-0002,CUS-002,2026-04-09,marketplace,West,2657.50,0.00,2657.50,1581.35,1076.15,2800.09,2800.09,0.00,0.00
ORD-0003,CUS-003,2026-04-13,direct,Central,669.50,0.00,669.50,401.31,268.19,725.13,725.13,0.00,0.00
ORD-0004,CUS-004,2026-04-17,partner,North,1078.00,0.00,1078.00,649.24,428.76,1154.51,1154.51,0.00,0.00
ORD-0005,CUS-005,2026-04-21,marketplace,South,2250.00,135.00,2115.00,1259.70,855.30,2369.25,2369.25,0.00,0.00
ORD-0006,CUS-006,2026-04-25,direct,West,272.50,0.00,272.50,163.05,109.45,305.26,305.26,0.00,0.00
ORD-0007,CUS-007,2026-04-29,partner,Central,1256.50,0.00,1256.50,762.77,493.73,1336.04,1336.04,0.00,0.00
ORD-0008,CUS-008,2026-05-03,marketplace,North,1919.50,0.00,1919.50,1156.31,763.19,2031.38,1421.97,609.41,0.00
ORD-0009,CUS-009,2026-05-07,direct,South,805.00,0.00,805.00,480.90,324.10,869.23,869.23,0.00,0.00
ORD-0010,CUS-010,2026-05-11,partner,West,1322.00,0.00,1322.00,793.76,528.24,1399.49,1399.49,0.00,0.00
ORD-0011,CUS-011,2026-05-15,marketplace,Central,2677.50,66.50,2611.00,1548.38,1062.62,2818.49,2818.49,0.00,0.00
ORD-0012,CUS-012,2026-05-19,direct,North,363.00,0.00,363.00,216.54,146.46,402.34,402.34,0.00,0.00
ORD-0013,CUS-013,2026-05-23,partner,South,1512.50,0.00,1512.50,914.25,598.25,1606.06,1606.06,0.00,0.00
ORD-0014,CUS-014,2026-05-27,marketplace,West,2314.00,0.00,2314.00,1388.12,925.88,2446.13,2446.13,0.00,0.00
ORD-0015,CUS-015,2026-05-31,direct,Central,952.50,0.00,952.50,567.45,385.05,1013.36,1013.36,0.00,0.00
ORD-0016,CUS-016,2026-06-04,partner,North,1590.00,0.00,1590.00,952.20,637.80,1682.05,1177.44,504.61,0.00
ORD-0017,CUS-017,2026-06-08,marketplace,South,2027.50,297.00,1730.50,1022.69,707.81,2141.74,2141.74,0.00,0.00
ORD-0018,CUS-018,2026-06-12,direct,West,465.50,0.00,465.50,276.99,188.51,511.95,511.95,0.00,0.00
ORD-0020,CUS-002,2026-06-20,marketplace,North,2540.50,0.00,2540.50,1522.49,1018.01,2672.82,2672.82,0.00,0.00
ORD-0021,CUS-003,2026-06-24,direct,South,1112.00,0.00,1112.00,660.96,451.04,1182.54,1182.54,0.00,0.00
ORD-0022,CUS-004,2026-04-01,partner,West,1882.00,77.50,1804.50,1077.61,726.89,1989.69,1989.69,0.00,0.00
ORD-0023,CUS-005,2026-04-05,marketplace,Central,1915.00,0.00,1915.00,1135.70,779.30,2026.68,2026.68,0.00,0.00
ORD-0024,CUS-006,2026-04-09,direct,North,580.00,0.00,580.00,344.40,235.60,634.10,443.87,190.23,0.00
ORD-0025,CUS-007,2026-04-13,partner,South,2096.50,0.00,2096.50,1258.97,837.53,2208.84,2208.84,0.00,0.00
ORD-0026,CUS-008,2026-04-17,marketplace,West,2973.00,0.00,2973.00,1776.34,1196.66,3127.29,3127.29,0.00,0.00
ORD-0027,CUS-009,2026-04-21,direct,Central,1283.50,0.00,1283.50,761.43,522.07,1364.26,1364.26,0.00,0.00
ORD-0028,CUS-010,2026-04-25,partner,North,1926.00,153.00,1773.00,1062.34,710.66,2038.17,2038.17,0.00,0.00
ORD-0029,CUS-011,2026-04-29,marketplace,South,1940.50,0.00,1940.50,1153.49,787.01,2055.82,2055.82,0.00,0.00
ORD-0030,CUS-012,2026-05-03,direct,West,706.50,0.00,706.50,418.77,287.73,756.29,756.29,0.00,0.00
ORD-0031,CUS-013,2026-05-07,partner,Central,1846.50,0.00,1846.50,1116.97,729.53,1950.09,1950.09,0.00,0.00
ORD-0032,CUS-014,2026-05-11,marketplace,North,2761.50,0.00,2761.50,1656.67,1104.83,2908.77,2036.14,872.63,0.00
ORD-0033,CUS-015,2026-05-15,direct,South,1467.00,163.00,1304.00,772.32,531.68,1558.52,1558.52,0.00,0.00
ORD-0034,CUS-016,2026-05-19,partner,West,693.50,104.00,589.50,360.91,228.59,752.71,752.71,0.00,0.00
ORD-0035,CUS-017,2026-05-23,marketplace,Central,2104.00,0.00,2104.00,1251.32,852.68,2216.68,2216.68,0.00,0.00
ORD-0036,CUS-018,2026-05-27,direct,North,505.00,0.00,505.00,302.90,202.10,548.23,548.23,0.00,0.00
ORD-0037,CUS-001,2026-05-31,partner,South,1722.50,0.00,1722.50,1048.05,674.45,1823.01,1823.01,0.00,0.00
ORD-0039,CUS-003,2026-06-08,direct,Central,1016.50,0.00,1016.50,608.57,407.93,1090.24,1090.24,0.00,0.00
ORD-0040,CUS-004,2026-06-12,partner,North,887.50,0.00,887.50,539.75,347.75,945.44,945.44,0.00,0.00
ORD-0041,CUS-005,2026-06-16,marketplace,South,2507.50,0.00,2507.50,1488.35,1019.15,2640.84,2640.84,0.00,0.00
ORD-0042,CUS-006,2026-06-20,direct,West,621.50,0.00,621.50,371.47,250.03,672.47,672.47,0.00,0.00
ORD-0043,CUS-007,2026-06-24,partner,Central,2030.50,0.00,2030.50,1229.69,800.81,2147.37,2147.37,0.00,0.00
ORD-0044,CUS-008,2026-04-01,marketplace,North,2047.00,65.50,1981.50,1174.27,807.23,2167.12,2167.12,0.00,0.00
ORD-0045,CUS-009,2026-04-05,direct,South,1190.00,0.00,1190.00,710.20,479.80,1261.55,1261.55,0.00,0.00
ORD-0046,CUS-010,2026-04-09,partner,West,1105.50,0.00,1105.50,669.19,436.31,1175.75,1175.75,0.00,0.00
ORD-0047,CUS-011,2026-04-13,marketplace,Central,2947.00,0.00,2947.00,1746.26,1200.74,3102.62,3102.62,0.00,0.00
ORD-0048,CUS-012,2026-04-17,direct,North,750.00,0.00,750.00,447.00,303.00,809.25,566.48,242.77,0.00
ORD-0049,CUS-013,2026-04-21,partner,South,2362.50,0.00,2362.50,1425.25,937.25,2496.81,2496.81,0.00,0.00
ORD-0050,CUS-014,2026-04-25,marketplace,West,2453.50,129.00,2324.50,1376.21,948.29,2581.91,2581.91,0.00,0.00
ORD-0051,CUS-015,2026-04-29,direct,Central,262.00,65.50,196.50,116.97,79.53,294.29,294.29,0.00,0.00
ORD-0052,CUS-016,2026-05-03,partner,North,1347.50,0.00,1347.50,812.55,534.95,1431.14,1431.14,0.00,0.00
ORD-0053,CUS-017,2026-05-07,marketplace,South,3422.50,0.00,3422.50,2025.05,1397.45,3602.01,3602.01,0.00,0.00
ORD-0054,CUS-018,2026-05-11,direct,West,890.50,0.00,890.50,529.49,361.01,958.57,958.57,0.00,0.00
ORD-0055,CUS-001,2026-05-15,partner,Central,1418.00,76.50,1341.50,800.07,541.43,1499.81,1499.81,0.00,0.00
ORD-0056,CUS-002,2026-05-19,marketplace,North,2488.00,0.00,2488.00,1476.04,1011.96,2620.46,1834.32,786.14,0.00
ORD-0058,CUS-004,2026-05-27,partner,West,1613.50,0.00,1613.50,969.83,643.67,1711.61,1711.61,0.00,0.00
ORD-0059,CUS-005,2026-05-31,marketplace,Central,2310.50,0.00,2310.50,1383.09,927.41,2442.47,2442.47,0.00,0.00
ORD-0060,CUS-006,2026-06-04,direct,North,1043.00,0.00,1043.00,618.94,424.06,1107.94,1107.94,0.00,0.00
ORD-0061,CUS-007,2026-06-08,partner,South,1526.00,151.00,1375.00,822.50,552.50,1615.17,1615.17,0.00,0.00
ORD-0062,CUS-008,2026-06-12,marketplace,West,2660.50,0.00,2660.50,1579.09,1081.41,2803.22,2803.22,0.00,0.00
ORD-0063,CUS-009,2026-06-16,direct,Central,465.00,0.00,465.00,275.70,189.30,511.43,511.43,0.00,0.00
ORD-0064,CUS-010,2026-06-20,partner,North,1427.50,0.00,1427.50,864.95,562.55,1519.74,1063.82,455.92,0.00
