order_id,customer_id,order_date,channel,region,status
ORD-0001,CUS-001,2026-04-05,partner,South,completed
ORD-0002,CUS-002,2026-04-09,marketplace,West,completed
ORD-0003,CUS-003,2026-04-13,direct,Central,completed
ORD-0004,CUS-004,2026-04-17,partner,North,completed
ORD-0005,CUS-005,2026-04-21,marketplace,South,completed
ORD-0006,CUS-006,2026-04-25,direct,West,completed
ORD-0007,CUS-007,2026-04-29,partner,Central,completed
ORD-0008,CUS-008,2026-05-03,marketplace,North,completed
ORD-0009,CUS-009,2026-05-07,direct,South,completed
ORD-0010,CUS-010,2026-05-11,partner,West,completed
ORD-0011,CUS-011,2026-05-15,marketplace,Central,completed
ORD-0012,CUS-012,2026-05-19,direct,North,completed
ORD-0013,CUS-013,2026-05-23,partner,South,completed
ORD-0014,CUS-014,2026-05-27,marketplace,West,completed
ORD-0015,CUS-015,2026-05-31,direct,Central,completed
ORD-0016,CUS-016,2026-06-04,partner,North,completed
ORD-0017,CUS-017,2026-06-08,marketplace,South,completed
ORD-0018,CUS-018,2026-06-12,direct,West,completed
ORD-0019,CUS-001,2026-06-16,partner,Central,cancelled
ORD-0020,CUS-002,2026-06-20,marketplace,North,completed
ORD-0021,CUS-003,2026-06-24,direct,South,completed
ORD-0022,CUS-004,2026-04-01,partner,West,completed
ORD-0023,CUS-005,2026-04-05,marketplace,Central,completed
ORD-0024,CUS-006,2026-04-09,direct,North,completed
ORD-0025,CUS-007,2026-04-13,partner,South,completed
ORD-0026,CUS-008,2026-04-17,marketplace,West,completed
ORD-0027,CUS-009,2026-04-21,direct,Central,completed
ORD-0028,CUS-010,2026-04-25,partner,North,completed
ORD-0029,CUS-011,2026-04-29,marketplace,South,completed
ORD-0030,CUS-012,2026-05-03,direct,West,completed
ORD-0031,CUS-013,2026-05-07,partner,Central,completed
ORD-0032,CUS-014,2026-05-11,marketplace,North,completed
ORD-0033,CUS-015,2026-05-15,direct,South,completed
ORD-0034,CUS-016,2026-05-19,partner,West,completed
ORD-0035,CUS-017,2026-05-23,marketplace,Central,completed
ORD-0036,CUS-018,2026-05-27,direct,North,completed
ORD-0037,CUS-001,2026-05-31,partner,South,completed
ORD-0038,CUS-002,2026-06-04,marketplace,West,cancelled
ORD-0039,CUS-003,2026-06-08,direct,Central,completed
ORD-0040,CUS-004,2026-06-12,partner,North,completed
ORD-0041,CUS-005,2026-06-16,marketplace,South,completed
ORD-0042,CUS-006,2026-06-20,direct,West,completed
ORD-0043,CUS-007,2026-06-24,partner,Central,completed
ORD-0044,CUS-008,2026-04-01,marketplace,North,completed
ORD-0045,CUS-009,2026-04-05,direct,South,completed
ORD-0046,CUS-010,2026-04-09,partner,West,completed
ORD-0047,CUS-011,2026-04-13,marketplace,Central,completed
ORD-0048,CUS-012,2026-04-17,direct,North,completed
ORD-0049,CUS-013,2026-04-21,partner,South,completed
ORD-0050,CUS-014,2026-04-25,marketplace,West,completed
ORD-0051,CUS-015,2026-04-29,direct,Central,completed
ORD-0052,CUS-016,2026-05-03,partner,North,completed
ORD-0053,CUS-017,2026-05-07,marketplace,South,completed
ORD-0054,CUS-018,2026-05-11,direct,West,completed
ORD-0055,CUS-001,2026-05-15,partner,Central,completed
ORD-0056,CUS-002,2026-05-19,marketplace,North,completed
ORD-0057,CUS-003,2026-05-23,direct,South,cancelled
ORD-0058,CUS-004,2026-05-27,partner,West,completed
ORD-0059,CUS-005,2026-05-31,marketplace,Central,completed
ORD-0060,CUS-006,2026-06-04,direct,North,completed
ORD-0061,CUS-007,2026-06-08,partner,South,completed
ORD-0062,CUS-008,2026-06-12,marketplace,West,completed
ORD-0063,CUS-009,2026-06-16,direct,Central,completed
ORD-0064,CUS-010,2026-06-20,partner,North,completed
