event_id,workflow_id,week,occurred_at,source_system,stage,attempt,status,reason,customer_impact
EVT-000001,W1-0001,2026-W23,2026-06-02T08:01:00Z,mobile,processing,1,success,,false
EVT-000002,W1-0002,2026-W23,2026-06-03T08:02:00Z,partner,processing,1,success,,false
EVT-000003,W1-0003,2026-W23,2026-06-04T08:03:00Z,web,processing,1,success,,false
EVT-000004,W1-0004,2026-W23,2026-06-05T08:04:00Z,mobile,processing,1,success,,false
EVT-000005,W1-0005,2026-W23,2026-06-06T08:05:00Z,partner,processing,1,success,,false
EVT-000006,W1-0006,2026-W23,2026-06-07T08:06:00Z,web,processing,1,success,,false
EVT-000007,W1-0007,2026-W23,2026-06-01T08:07:00Z,mobile,processing,1,success,,false
EVT-000008,W1-0008,2026-W23,2026-06-02T08:08:00Z,partner,processing,1,success,,false
EVT-000009,W1-0009,2026-W23,2026-06-03T08:09:00Z,web,processing,1,success,,false
EVT-000010,W1-0010,2026-W23,2026-06-04T08:10:00Z,mobile,processing,1,success,,false
EVT-000011,W1-0011,2026-W23,2026-06-05T08:11:00Z,partner,processing,1,success,,false
EVT-000012,W1-0012,2026-W23,2026-06-06T08:12:00Z,web,processing,1,success,,false
EVT-000013,W1-0013,2026-W23,2026-06-07T08:13:00Z,mobile,processing,1,success,,false
EVT-000014,W1-0014,2026-W23,2026-06-01T08:14:00Z,partner,processing,1,success,,false
EVT-000015,W1-0015,2026-W23,2026-06-02T08:15:00Z,web,processing,1,success,,false
EVT-000016,W1-0016,2026-W23,2026-06-03T08:16:00Z,mobile,processing,1,success,,false
EVT-000017,W1-0017,2026-W23,2026-06-04T08:17:00Z,partner,processing,1,success,,false
EVT-000018,W1-0018,2026-W23,2026-06-05T08:18:00Z,web,processing,1,success,,false
EVT-000019,W1-0019,2026-W23,2026-06-06T08:19:00Z,mobile,processing,1,success,,false
EVT-000020,W1-0020,2026-W23,2026-06-07T08:20:00Z,partner,processing,1,success,,false
EVT-000021,W1-0021,2026-W23,2026-06-01T08:21:00Z,web,processing,1,success,,false
EVT-000022,W1-0022,2026-W23,2026-06-02T08:22:00Z,mobile,processing,1,success,,false
EVT-000023,W1-0023,2026-W23,2026-06-03T08:23:00Z,partner,processing,1,success,,false
EVT-000024,W1-0024,2026-W23,2026-06-04T08:24:00Z,web,processing,1,success,,false
EVT-000025,W1-0025,2026-W23,2026-06-05T08:25:00Z,mobile,processing,1,success,,false
EVT-000026,W1-0026,2026-W23,2026-06-06T08:26:00Z,partner,processing,1,success,,false
