lane_id,supplier_id,region,annual_units,unit_cost_usd,inbound_freight_usd,lead_time_days,on_time_rate,fill_rate,defect_rate,demand_cv,expedite_rate,carbon_kg_per_unit
LANE-001,SUP-001,North,5638,13.68,1.53,10.35,0.9660,0.9705,0.0045,0.1969,0.0275,1.061
LANE-002,SUP-002,North,4743,14.15,1.46,9.50,0.9990,0.9604,0.0063,0.1621,0.0234,1.035
LANE-003,SUP-003,North,5725,14.22,1.48,8.87,0.9962,0.9990,0.0058,0.2007,0.0221,1.139
LANE-004,SUP-004,North,6516,13.92,1.47,10.41,0.9509,0.9990,0.0056,0.2008,0.0282,1.091
LANE-005,SUP-005,North,6509,14.10,1.76,8.28,0.9488,0.9832,0.0057,0.1664,0.0294,1.031
LANE-006,SUP-006,North,6940,13.11,1.48,8.29,0.9615,0.9608,0.0059,0.1656,0.0230,1.099
LANE-007,SUP-007,North,4990,13.23,1.52,10.81,0.9662,0.9968,0.0057,0.1692,0.0282,1.119
LANE-008,SUP-008,North,5676,14.18,1.72,9.96,0.9990,0.9636,0.0051,0.2161,0.0245,1.156
LANE-009,SUP-009,North,5106,14.28,1.76,10.24,0.9503,0.9870,0.0057,0.1733,0.0203,1.096
LANE-010,SUP-010,North,7044,14.21,1.69,8.71,0.9542,0.9886,0.0069,0.1836,0.0209,1.081
LANE-011,SUP-011,North,6750,13.11,1.77,9.98,0.9660,0.9990,0.0057,0.1615,0.0232,1.163
LANE-012,SUP-012,North,6826,13.81,1.43,10.29,0.9654,0.9785,0.0046,0.1816,0.0292,1.149
LANE-013,SUP-013,North,6427,13.24,1.45,8.24,0.9761,0.9929,0.0053,0.1801,0.0220,1.125
LANE-014,SUP-014,North,4821,14.21,1.63,9.85,0.9566,0.9673,0.0064,0.1749,0.0290,1.058
LANE-015,SUP-015,North,5070,13.22,1.67,8.94,0.9922,0.9881,0.0045,0.2194,0.0305,0.942
LANE-016,SUP-016,North,6590,14.43,1.57,10.66,0.9543,0.9907,0.0057,0.1704,0.0265,1.106
LANE-017,SUP-017,North,6117,14.49,1.79,10.63,0.9881,0.9958,0.0049,0.1642,0.0282,1.153
LANE-018,SUP-018,North,5800,13.87,1.56,9.80,0.9990,0.9871,0.0070,0.1862,0.0228,1.020
LANE-019,SUP-019,North,5197,13.10,1.62,9.30,0.9790,0.9677,0.0046,0.1694,0.0229,1.099
LANE-020,SUP-020,North,5685,13.87,1.47,8.45,0.9933,0.9730,0.0053,0.1820,0.0258,1.050
LANE-021,SUP-021,Central,4642,10.21,0.99,18.71,0.9491,0.9401,0.0112,0.2973,0.0442,0.730
LANE-022,SUP-022,Central,4519,9.59,1.17,17.18,0.9025,0.9303,0.0127,0.2411,0.0482,0.758
LANE-023,SUP-023,Central,4433,10.16,1.16,17.69,0.9102,0.9367,0.0106,0.2715,0.0648,0.691
LANE-024,SUP-024,Central,3494,9.34,1.10,18.11,0.9358,0.9326,0.0103,0.2999,0.0477,0.777
LANE-025,SUP-025,Central,3981,9.99,1.06,15.89,0.9370,0.9624,0.0099,0.3351,0.0471,0.766
LANE-026,SUP-026,Central,3492,9.61,1.17,18.65,0.9350,0.9305,0.0112,0.2458,0.0520,0.686
LANE-027,SUP-027,Central,5024,9.45,1.15,19.22,0.9174,0.9506,0.0098,0.2845,0.0533,0.778
LANE-028,SUP-028,Central,3282,10.08,1.16,19.03,0.9293,0.9273,0.0150,0.3366,0.0655,0.860
LANE-029,SUP-001,Central,4328,10.10,1.15,17.77,0.9379,0.9466,0.0131,0.2492,0.0466,0.714
LANE-030,SUP-002,Central,3300,9.20,1.04,18.83,0.9495,0.9288,0.0149,0.2776,0.0664,0.743
LANE-031,SUP-003,Central,4312,9.73,0.98,15.72,0.9396,0.9350,0.0125,0.2487,0.0427,0.865
