workflow_id,week,source_system,attempts,first_attempt_status,final_status,final_reason,customer_impact
W1-0001,2026-W23,mobile,1,success,success,,false
W1-0002,2026-W23,partner,1,success,success,,false
W1-0003,2026-W23,web,1,success,success,,false
W1-0004,2026-W23,mobile,1,success,success,,false
W1-0005,2026-W23,partner,1,success,success,,false
W1-0006,2026-W23,web,1,success,success,,false
W1-0007,2026-W23,mobile,1,success,success,,false
W1-0008,2026-W23,partner,1,success,success,,false
W1-0009,2026-W23,web,1,success,success,,false
W1-0010,2026-W23,mobile,1,success,success,,false
W1-0011,2026-W23,partner,1,success,success,,false
W1-0012,2026-W23,web,1,success,success,,false
W1-0013,2026-W23,mobile,1,success,success,,false
W1-0014,2026-W23,partner,1,success,success,,false
W1-0015,2026-W23,web,1,success,success,,false
W1-0016,2026-W23,mobile,1,success,success,,false
W1-0017,2026-W23,partner,1,success,success,,false
W1-0018,2026-W23,web,1,success,success,,false
W1-0019,2026-W23,mobile,1,success,success,,false
W1-0020,2026-W23,partner,1,success,success,,false
W1-0021,2026-W23,web,1,success,success,,false
W1-0022,2026-W23,mobile,1,success,success,,false
W1-0023,2026-W23,partner,1,success,success,,false
W1-0024,2026-W23,web,1,success,success,,false
W1-0025,2026-W23,mobile,1,success,success,,false
W1-0026,2026-W23,partner,1,success,success,,false
W1-0027,2026-W23,web,1,success,success,,false
W1-0028,2026-W23,mobile,1,success,success,,false
W1-0029,2026-W23,partner,1,success,success,,false
W1-0030,2026-W23,web,1,success,success,,false
W1-0031,2026-W23,mobile,1,success,success,,false
W1-0032,2026-W23,partner,1,success,success,,false
W1-0033,2026-W23,web,1,success,success,,false
W1-0034,2026-W23,mobile,1,success,success,,false
W1-0035,2026-W23,partner,1,success,success,,false
W1-0036,2026-W23,web,1,success,success,,false
W1-0037,2026-W23,mobile,1,success,success,,false
W1-0038,2026-W23,partner,1,success,success,,false
W1-0039,2026-W23,web,1,success,success,,false
W1-0040,2026-W23,mobile,1,success,success,,false
W1-0041,2026-W23,partner,1,success,success,,false
W1-0042,2026-W23,web,1,success,success,,false
W1-0043,2026-W23,mobile,1,success,success,,false
W1-0044,2026-W23,partner,1,success,success,,false
W1-0045,2026-W23,web,1,success,success,,false
W1-0046,2026-W23,mobile,1,success,success,,false
W1-0047,2026-W23,partner,1,success,success,,false
W1-0048,2026-W23,web,1,success,success,,false
W1-0049,2026-W23,mobile,1,success,success,,false
W1-0050,2026-W23,partner,1,success,success,,false
W1-0051,2026-W23,web,1,success,success,,false
W1-0052,2026-W23,mobile,1,success,success,,false
W1-0053,2026-W23,partner,1,success,success,,false
W1-0054,2026-W23,web,1,success,success,,false
W1-0055,2026-W23,mobile,1,success,success,,false
W1-0056,2026-W23,partner,1,success,success,,false
W1-0057,2026-W23,web,1,success,success,,false
W1-0058,2026-W23,mobile,1,success,success,,false
W1-0059,2026-W23,partner,1,success,success,,false
W1-0060,2026-W23,web,1,success,success,,false
W1-0061,2026-W23,mobile,1,success,success,,false
W1-0062,2026-W23,partner,1,success,success,,false
W1-0063,2026-W23,web,1,success,success,,false
W1-0064,2026-W23,mobile,1,success,success,,false
W1-0065,2026-W23,partner,1,success,success,,false
W1-0066,2026-W23,web,1,success,success,,false
W1-0067,2026-W23,mobile,1,success,success,,false
W1-0068,2026-W23,partner,1,success,success,,false
W1-0069,2026-W23,web,1,success,success,,false
W1-0070,2026-W23,mobile,1,success,success,,false
W1-0071,2026-W23,partner,1,success,success,,false
W1-0072,2026-W23,web,1,success,success,,false
W1-0073,2026-W23,mobile,1,success,success,,false
W1-0074,2026-W23,partner,1,success,success,,false
W1-0075,2026-W23,web,1,success,success,,false
W1-0076,2026-W23,mobile,1,success,success,,false
W1-0077,2026-W23,partner,1,success,success,,false
W1-0078,2026-W23,web,1,success,success,,false
W1-0079,2026-W23,mobile,1,success,success,,false
W1-0080,2026-W23,partner,1,success,success,,false
W1-0081,2026-W23,web,1,success,success,,false
W1-0082,2026-W23,mobile,1,success,success,,false
W1-0083,2026-W23,partner,1,success,success,,false
W1-0084,2026-W23,web,1,success,success,,false
W1-0085,2026-W23,mobile,1,success,success,,false
W1-0086,2026-W23,partner,1,success,success,,false
W1-0087,2026-W23,web,1,success,success,,false
W1-0088,2026-W23,mobile,1,success,success,,false
W1-0089,2026-W23,partner,1,success,success,,false
W1-0090,2026-W23,web,1,success,success,,false
W1-0091,2026-W23,mobile,1,success,success,,false
W1-0092,2026-W23,partner,1,success,success,,false
W1-0093,2026-W23,web,1,success,success,,false
W1-0094,2026-W23,mobile,1,success,success,,false
W1-0095,2026-W23,partner,1,success,success,,false
W1-0096,2026-W23,web,1,success,success,,false
W1-0097,2026-W23,mobile,1,success,success,,false
W1-0098,2026-W23,partner,1,success,success,,false
W1-0099,2026-W23,web,1,success,success,,false
W1-0100,2026-W23,mobile,1,success,success,,false
W1-0101,2026-W23,partner,1,success,success,,false
W1-0102,2026-W23,web,1,success,success,,false
W1-0103,2026-W23,mobile,1,success,success,,false
W1-0104,2026-W23,partner,1,success,success,,false
W1-0105,2026-W23,web,1,success,success,,false
W1-0106,2026-W23,mobile,1,success,success,,false
W1-0107,2026-W23,partner,1,success,success,,false
W1-0108,2026-W23,web,1,success,success,,false
W1-0109,2026-W23,mobile,1,success,success,,false
W1-0110,2026-W23,partner,1,success,success,,false
W1-0111,2026-W23,web,1,success,success,,false
W1-0112,2026-W23,mobile,1,success,success,,false
W1-0113,2026-W23,partner,1,success,success,,false
W1-0114,2026-W23,web,1,success,success,,false
W1-0115,2026-W23,mobile,1,success,success,,false
W1-0116,2026-W23,partner,1,success,success,,false
W1-0117,2026-W23,web,1,success,success,,false
W1-0118,2026-W23,mobile,1,success,success,,false
W1-0119,2026-W23,partner,1,success,success,,false
W1-0120,2026-W23,web,1,success,success,,false
W1-0121,2026-W23,mobile,1,success,success,,false
W1-0122,2026-W23,partner,1,success,success,,false
W1-0123,2026-W23,web,1,success,success,,false
W1-0124,2026-W23,mobile,1,success,success,,false
W1-0125,2026-W23,partner,1,success,success,,false
W1-0126,2026-W23,web,1,success,success,,false
W1-0127,2026-W23,mobile,1,success,success,,false
W1-0128,2026-W23,partner,1,success,success,,false
W1-0129,2026-W23,web,1,success,success,,false
W1-0130,2026-W23,mobile,1,success,success,,false
W1-0131,2026-W23,partner,1,success,success,,false
W1-0132,2026-W23,web,1,success,success,,false
W1-0133,2026-W23,mobile,1,success,success,,false
W1-0134,2026-W23,partner,1,success,success,,false
W1-0135,2026-W23,web,1,success,success,,false
W1-0136,2026-W23,mobile,1,success,success,,false
W1-0137,2026-W23,partner,1,success,success,,false
W1-0138,2026-W23,web,1,success,success,,false
W1-0139,2026-W23,mobile,1,success,success,,false
W1-0140,2026-W23,partner,1,success,success,,false
W1-0141,2026-W23,web,1,success,success,,false
W1-0142,2026-W23,mobile,1,success,success,,false
W1-0143,2026-W23,partner,1,success,success,,false
W1-0144,2026-W23,web,1,success,success,,false
W1-0145,2026-W23,mobile,1,success,success,,false
W1-0146,2026-W23,partner,1,success,success,,false
W1-0147,2026-W23,web,1,success,success,,false
W1-0148,2026-W23,mobile,1,success,success,,false
W1-0149,2026-W23,partner,1,success,success,,false
W1-0150,2026-W23,web,1,success,success,,false
W1-0151,2026-W23,mobile,1,success,success,,false
W1-0152,2026-W23,partner,1,success,success,,false
W1-0153,2026-W23,web,1,success,success,,false
W1-0154,2026-W23,mobile,1,success,success,,false
W1-0155,2026-W23,partner,1,success,success,,false
W1-0156,2026-W23,web,1,success,success,,false
W1-0157,2026-W23,mobile,1,success,success,,false
W1-0158,2026-W23,partner,1,success,success,,false
W1-0159,2026-W23,web,1,success,success,,false
W1-0160,2026-W23,mobile,1,success,success,,false
W1-0161,2026-W23,partner,1,success,success,,false
W1-0162,2026-W23,web,1,success,success,,false
W1-0163,2026-W23,mobile,1,success,success,,false
W1-0164,2026-W23,partner,1,success,success,,false
W1-0165,2026-W23,web,1,success,success,,false
W1-0166,2026-W23,mobile,1,success,success,,false
W1-0167,2026-W23,partner,1,success,success,,false
W1-0168,2026-W23,web,1,success,success,,false
W1-0169,2026-W23,mobile,1,success,success,,false
W1-0170,2026-W23,partner,1,success,success,,false
W1-0171,2026-W23,web,1,success,success,,false
W1-0172,2026-W23,mobile,1,success,success,,false
W1-0173,2026-W23,partner,1,success,success,,false
W1-0174,2026-W23,web,1,success,success,,false
W1-0175,2026-W23,mobile,1,success,success,,false
W1-0176,2026-W23,partner,1,success,success,,false
W1-0177,2026-W23,web,1,success,success,,false
W1-0178,2026-W23,mobile,1,success,success,,false
W1-0179,2026-W23,partner,1,success,success,,false
W1-0180,2026-W23,web,1,success,success,,false
W1-0181,2026-W23,mobile,2,failure,success,,false
W1-0182,2026-W23,partner,2,failure,success,,false
W1-0183,2026-W23,web,2,failure,success,,false
W1-0184,2026-W23,mobile,2,failure,success,,false
W1-0185,2026-W23,partner,2,failure,success,,false
W1-0186,2026-W23,web,2,failure,success,,false
W1-0187,2026-W23,mobile,2,failure,success,,false
W1-0188,2026-W23,partner,2,failure,success,,false
W1-0189,2026-W23,web,2,failure,success,,false
W1-0190,2026-W23,mobile,2,failure,success,,false
W1-0191,2026-W23,partner,2,failure,success,,false
W1-0192,2026-W23,web,2,failure,success,,false
W1-0193,2026-W23,mobile,2,failure,success,,false
W1-0194,2026-W23,partner,2,failure,success,,false
W1-0195,2026-W23,web,2,failure,success,,false
W1-0196,2026-W23,mobile,2,failure,failure,upstream_unavailable,true
W1-0197,2026-W23,partner,2,failure,failure,upstream_unavailable,true
W1-0198,2026-W23,web,2,failure,failure,upstream_unavailable,true
W1-0199,2026-W23,mobile,2,failure,failure,upstream_unavailable,true
W1-0200,2026-W23,partner,2,failure,failure,upstream_unavailable,true
W2-0001,2026-W24,mobile,1,success,success,,false
W2-0002,2026-W24,partner,1,success,success,,false
W2-0003,2026-W24,web,1,success,success,,false
W2-0004,2026-W24,mobile,1,success,success,,false
W2-0005,2026-W24,partner,1,success,success,,false
W2-0006,2026-W24,web,1,success,success,,false
W2-0007,2026-W24,mobile,1,success,success,,false
W2-0008,2026-W24,partner,1,success,success,,false
W2-0009,2026-W24,web,1,success,success,,false
W2-0010,2026-W24,mobile,1,success,success,,false
W2-0011,2026-W24,partner,1,success,success,,false
W2-0012,2026-W24,web,1,success,success,,false
W2-0013,2026-W24,mobile,1,success,success,,false
W2-0014,2026-W24,partner,1,success,success,,false
W2-0015,2026-W24,web,1,success,success,,false
W2-0016,2026-W24,mobile,1,success,success,,false
W2-0017,2026-W24,partner,1,success,success,,false
W2-0018,2026-W24,web,1,success,success,,false
W2-0019,2026-W24,mobile,1,success,success,,false
W2-0020,2026-W24,partner,1,success,success,,false
W2-0021,2026-W24,web,1,success,success,,false
W2-0022,2026-W24,mobile,1,success,success,,false
W2-0023,2026-W24,partner,1,success,success,,false
W2-0024,2026-W24,web,1,success,success,,false
W2-0025,2026-W24,mobile,1,success,success,,false
W2-0026,2026-W24,partner,1,success,success,,false
W2-0027,2026-W24,web,1,success,success,,false
W2-0028,2026-W24,mobile,1,success,success,,false
W2-0029,2026-W24,partner,1,success,success,,false
W2-0030,2026-W24,web,1,success,success,,false
W2-0031,2026-W24,mobile,1,success,success,,false
W2-0032,2026-W24,partner,1,success,success,,false
W2-0033,2026-W24,web,1,success,success,,false
W2-0034,2026-W24,mobile,1,success,success,,false
W2-0035,2026-W24,partner,1,success,success,,false
W2-0036,2026-W24,web,1,success,success,,false
W2-0037,2026-W24,mobile,1,success,success,,false
W2-0038,2026-W24,partner,1,success,success,,false
W2-0039,2026-W24,web,1,success,success,,false
W2-0040,2026-W24,mobile,1,success,success,,false
W2-0041,2026-W24,partner,1,success,success,,false
W2-0042,2026-W24,web,1,success,success,,false
W2-0043,2026-W24,mobile,1,success,success,,false
W2-0044,2026-W24,partner,1,success,success,,false
W2-0045,2026-W24,web,1,success,success,,false
W2-0046,2026-W24,mobile,1,success,success,,false
W2-0047,2026-W24,partner,1,success,success,,false
W2-0048,2026-W24,web,1,success,success,,false
W2-0049,2026-W24,mobile,1,success,success,,false
W2-0050,2026-W24,partner,1,success,success,,false
W2-0051,2026-W24,web,1,success,success,,false
W2-0052,2026-W24,mobile,1,success,success,,false
W2-0053,2026-W24,partner,1,success,success,,false
W2-0054,2026-W24,web,1,success,success,,false
W2-0055,2026-W24,mobile,1,success,success,,false
W2-0056,2026-W24,partner,1,success,success,,false
W2-0057,2026-W24,web,1,success,success,,false
W2-0058,2026-W24,mobile,1,success,success,,false
W2-0059,2026-W24,partner,1,success,success,,false
W2-0060,2026-W24,web,1,success,success,,false
W2-0061,2026-W24,mobile,1,success,success,,false
W2-0062,2026-W24,partner,1,success,success,,false
W2-0063,2026-W24,web,1,success,success,,false
W2-0064,2026-W24,mobile,1,success,success,,false
W2-0065,2026-W24,partner,1,success,success,,false
W2-0066,2026-W24,web,1,success,success,,false
W2-0067,2026-W24,mobile,1,success,success,,false
W2-0068,2026-W24,partner,1,success,success,,false
W2-0069,2026-W24,web,1,success,success,,false
W2-0070,2026-W24,mobile,1,success,success,,false
W2-0071,2026-W24,partner,1,success,success,,false
W2-0072,2026-W24,web,1,success,success,,false
W2-0073,2026-W24,mobile,1,success,success,,false
W2-0074,2026-W24,partner,1,success,success,,false
W2-0075,2026-W24,web,1,success,success,,false
W2-0076,2026-W24,mobile,1,success,success,,false
W2-0077,2026-W24,partner,1,success,success,,false
W2-0078,2026-W24,web,1,success,success,,false
W2-0079,2026-W24,mobile,1,success,success,,false
W2-0080,2026-W24,partner,1,success,success,,false
W2-0081,2026-W24,web,1,success,success,,false
W2-0082,2026-W24,mobile,1,success,success,,false
W2-0083,2026-W24,partner,1,success,success,,false
W2-0084,2026-W24,web,1,success,success,,false
W2-0085,2026-W24,mobile,1,success,success,,false
W2-0086,2026-W24,partner,1,success,success,,false
W2-0087,2026-W24,web,1,success,success,,false
W2-0088,2026-W24,mobile,1,success,success,,false
W2-0089,2026-W24,partner,1,success,success,,false
W2-0090,2026-W24,web,1,success,success,,false
W2-0091,2026-W24,mobile,1,success,success,,false
W2-0092,2026-W24,partner,1,success,success,,false
W2-0093,2026-W24,web,1,success,success,,false
W2-0094,2026-W24,mobile,1,success,success,,false
W2-0095,2026-W24,partner,1,success,success,,false
W2-0096,2026-W24,web,1,success,success,,false
W2-0097,2026-W24,mobile,1,success,success,,false
W2-0098,2026-W24,partner,1,success,success,,false
W2-0099,2026-W24,web,1,success,success,,false
W2-0100,2026-W24,mobile,1,success,success,,false
W2-0101,2026-W24,partner,1,success,success,,false
W2-0102,2026-W24,web,1,success,success,,false
W2-0103,2026-W24,mobile,1,success,success,,false
W2-0104,2026-W24,partner,1,success,success,,false
W2-0105,2026-W24,web,1,success,success,,false
W2-0106,2026-W24,mobile,1,success,success,,false
W2-0107,2026-W24,partner,1,success,success,,false
W2-0108,2026-W24,web,1,success,success,,false
W2-0109,2026-W24,mobile,1,success,success,,false
W2-0110,2026-W24,partner,1,success,success,,false
W2-0111,2026-W24,web,1,success,success,,false
W2-0112,2026-W24,mobile,1,success,success,,false
W2-0113,2026-W24,partner,1,success,success,,false
W2-0114,2026-W24,web,1,success,success,,false
W2-0115,2026-W24,mobile,1,success,success,,false
W2-0116,2026-W24,partner,1,success,success,,false
W2-0117,2026-W24,web,1,success,success,,false
W2-0118,2026-W24,mobile,1,success,success,,false
W2-0119,2026-W24,partner,1,success,success,,false
W2-0120,2026-W24,web,1,success,success,,false
W2-0121,2026-W24,mobile,1,success,success,,false
W2-0122,2026-W24,partner,1,success,success,,false
W2-0123,2026-W24,web,1,success,success,,false
W2-0124,2026-W24,mobile,1,success,success,,false
W2-0125,2026-W24,partner,1,success,success,,false
W2-0126,2026-W24,web,1,success,success,,false
W2-0127,2026-W24,mobile,1,success,success,,false
W2-0128,2026-W24,partner,1,success,success,,false
W2-0129,2026-W24,web,1,success,success,,false
W2-0130,2026-W24,mobile,1,success,success,,false
W2-0131,2026-W24,partner,1,success,success,,false
W2-0132,2026-W24,web,1,success,success,,false
W2-0133,2026-W24,mobile,1,success,success,,false
W2-0134,2026-W24,partner,1,success,success,,false
W2-0135,2026-W24,web,1,success,success,,false
W2-0136,2026-W24,mobile,1,success,success,,false
W2-0137,2026-W24,partner,1,success,success,,false
W2-0138,2026-W24,web,1,success,success,,false
W2-0139,2026-W24,mobile,1,success,success,,false
W2-0140,2026-W24,partner,1,success,success,,false
W2-0141,2026-W24,web,1,success,success,,false
W2-0142,2026-W24,mobile,1,success,success,,false
W2-0143,2026-W24,partner,1,success,success,,false
W2-0144,2026-W24,web,1,success,success,,false
W2-0145,2026-W24,mobile,1,success,success,,false
W2-0146,2026-W24,partner,1,success,success,,false
W2-0147,2026-W24,web,1,success,success,,false
W2-0148,2026-W24,mobile,1,success,success,,false
W2-0149,2026-W24,partner,1,success,success,,false
W2-0150,2026-W24,web,1,success,success,,false
W2-0151,2026-W24,mobile,1,success,success,,false
W2-0152,2026-W24,partner,1,success,success,,false
W2-0153,2026-W24,web,1,success,success,,false
W2-0154,2026-W24,mobile,1,success,success,,false
W2-0155,2026-W24,partner,1,success,success,,false
W2-0156,2026-W24,web,1,success,success,,false
W2-0157,2026-W24,mobile,1,success,success,,false
W2-0158,2026-W24,partner,1,success,success,,false
W2-0159,2026-W24,web,1,success,success,,false
W2-0160,2026-W24,mobile,1,success,success,,false
W2-0161,2026-W24,partner,1,success,success,,false
W2-0162,2026-W24,web,1,success,success,,false
W2-0163,2026-W24,mobile,1,success,success,,false
