lane_id,supplier_id,region,segment,landed_cost_per_unit,lead_time_days,on_time_rate,fill_rate,defect_rate,demand_cv,expedite_rate,annual_units
LANE-001,SUP-001,North,strategic_reliable,15.21,10.35,0.966,0.9705,0.0045,0.1969,0.0275,5638
LANE-002,SUP-002,North,strategic_reliable,15.61,9.5,0.999,0.9604,0.0063,0.1621,0.0234,4743
LANE-003,SUP-003,North,strategic_reliable,15.7,8.87,0.9962,0.999,0.0058,0.2007,0.0221,5725
LANE-004,SUP-004,North,strategic_reliable,15.39,10.41,0.9509,0.999,0.0056,0.2008,0.0282,6516
LANE-005,SUP-005,North,strategic_reliable,15.86,8.28,0.9488,0.9832,0.0057,0.1664,0.0294,6509
LANE-006,SUP-006,North,strategic_reliable,14.59,8.29,0.9615,0.9608,0.0059,0.1656,0.023,6940
LANE-007,SUP-007,North,strategic_reliable,14.75,10.81,0.9662,0.9968,0.0057,0.1692,0.0282,4990
LANE-008,SUP-008,North,strategic_reliable,15.9,9.96,0.999,0.9636,0.0051,0.2161,0.0245,5676
LANE-009,SUP-009,North,strategic_reliable,16.04,10.24,0.9503,0.987,0.0057,0.1733,0.0203,5106
LANE-010,SUP-010,North,strategic_reliable,15.9,8.71,0.9542,0.9886,0.0069,0.1836,0.0209,7044
LANE-011,SUP-011,North,strategic_reliable,14.88,9.98,0.966,0.999,0.0057,0.1615,0.0232,6750
LANE-012,SUP-012,North,strategic_reliable,15.24,10.29,0.9654,0.9785,0.0046,0.1816,0.0292,6826
LANE-013,SUP-013,North,strategic_reliable,14.69,8.24,0.9761,0.9929,0.0053,0.1801,0.022,6427
LANE-014,SUP-014,North,strategic_reliable,15.84,9.85,0.9566,0.9673,0.0064,0.1749,0.029,4821
LANE-015,SUP-015,North,strategic_reliable,14.89,8.94,0.9922,0.9881,0.0045,0.2194,0.0305,5070
LANE-016,SUP-016,North,strategic_reliable,16,10.66,0.9543,0.9907,0.0057,0.1704,0.0265,6590
LANE-017,SUP-017,North,strategic_reliable,16.28,10.63,0.9881,0.9958,0.0049,0.1642,0.0282,6117
LANE-018,SUP-018,North,strategic_reliable,15.43,9.8,0.999,0.9871,0.007,0.1862,0.0228,5800
LANE-019,SUP-019,North,strategic_reliable,14.72,9.3,0.979,0.9677,0.0046,0.1694,0.0229,5197
LANE-020,SUP-020,North,strategic_reliable,15.34,8.45,0.9933,0.973,0.0053,0.182,0.0258,5685
LANE-021,SUP-021,Central,cost_efficient_routine,11.2,18.71,0.9491,0.9401,0.0112,0.2973,0.0442,4642
LANE-022,SUP-022,Central,cost_efficient_routine,10.76,17.18,0.9025,0.9303,0.0127,0.2411,0.0482,4519
LANE-023,SUP-023,Central,cost_efficient_routine,11.32,17.69,0.9102,0.9367,0.0106,0.2715,0.0648,4433
